clave,nombre,Salinización,Recarga,Extracción,Disponibilidad,Área,Zona pago
101,Valle de Aguascalientes,0,249.6,347.63,-100.43,3129.31,1
102,Valle de Chicalote,0,35,46.91,-11.91,724.69,1
103,El Llano,0,15,17.76,-5.76,554.96,1
104,Venadero,0,1.9,1.6,-0.6,111.06,1
105,Valle de Calvillo,0,25,40.91,-17.91,1048.23,1
201,Tijuana,0,19.5,14.59,0.31,244.99,2
202,Tecate,0,14.1,12.17,1.93,762.48,3
203,El Descanso,0,2.7,1.63,0.67,267.19,3
204,Los Médanos,0,1.8,1.05,0.65,110.29,3
205,Las Palmas,0,11.2,10.18,1.02,2118.23,2
206,La Misión,0,6.5,7.62,-2.12,476.28,1
207,Guadalupe,0,18.8,37.12,-18.42,975.63,1
208,Ojos Negros,0,22.3,27.05,-4.75,657.63,1
209,Laguna Salada,0,17.8,16.75,1.05,5689.46,2
210,Valle de Mexicali,0,520.5,775.96,-257.96,4907.8,1
211,Ensenada,0,3.7,10.78,-7.08,752.26,1
212,Maneadero,0,33.8,38.51,-4.71,1466.27,1
213,Santo Tomás,0,6.5,10.92,-4.62,886.26,1
214,San Vicente,0,28,23.77,2.83,2082.1,3
215,Cañón la Calentura,0,9.9,14.55,-5.25,645.54,1
216,La Trinidad,0,22.4,27.95,-5.55,1212.2,1
217,San Rafael,0,12.4,42.3,-29.9,1260.66,1
218,San Telmo,0,8.5,22.66,-14.16,1288.07,1
219,Camalú,0,7.8,14.13,-6.33,246.33,1
220,Colonia Vicente Guerrero,0,15.6,40.62,-26.12,1107.63,1
221,San Quintín,0,24.3,61,-36.7,951.48,1
222,San Felípe-Punta Estrella,0,8,7.17,0.53,1289.89,3
223,Valle Chico-San Pedro Mártir,0,13.8,11.91,1.89,3069.64,3
224,El Rosario,0,5.8,5.32,0.28,2812.44,2
225,Bahía de San Luís Gonzaga,0,5.5,0.09,3.41,1205.99,4
226,Bahía de los Ángeles,0,1.1,0.51,0.59,525.34,3
227,Villa de Jesús María,0,2.3,1.71,0.49,1599.3,3
228,Llanos del Berrendo,0,21.1,0.76,9.94,3519.26,4
229,Jamau,0,6.9,0.09,6.31,730.54,4
230,San Fernando-San Agustín,0,3,1.2,1.4,2692.41,3
231,Santa Catarina,0,0.7,0.47,0.23,1518.72,4
232,Punta Canoas-San José,0,0.7,0.53,0.17,3094.92,3
233,Laguna de Chapala,0,1.2,0.01,0.59,2380.76,4
234,La Bachata-Santa Rosalita,0,0.5,0.13,0.37,2432.33,3
235,Nuevo Rosarito,0,5.2,0.35,4.55,1617.63,4
236,La Rumorosa-Tecate,0,1.8,0.71,1.09,738.91,3
237,El Chinero,0,4.1,2.36,1.54,2522.21,3
238,Matomi-Puertecitos,0,4.8,0.03,1.47,1258.87,4
239,El Huerfanito,0,0.5,0,0.5,1024.46,4
240,Calamajué,0,0.1,0,0.1,934.56,4
241,Agua Amarga,0,0.9,0,0.9,2251.01,4
242,La Bocana-Llanos de San Pedro,0,4.8,0.01,4.09,993.48,4
243,San Rafael-La Palma,0,1,0.02,0.58,762.97,4
244,El Progreso-El Barril,0,2.4,0.04,1.86,1178.18,4
245,Rosarito,0,6.2,4.78,0.92,338.6,3
246,San Simón,0,27.2,26.84,-2.94,1967.09,1
247,El Socorro,0,1.9,1.1,0.6,526.22,3
248,Real del Castillo,0,11.7,11.11,0.59,800.3,2
301,Punta Eugenia,0,3.3,0.21,1.29,3928.14,4
302,Vizcaíno,0,41.2,37.83,-0.13,11445.8,2
303,San Ignacio,0,9.2,7.92,-3.02,11490.8,1
304,La Purísima,0,9.7,2.6,-1.9,4797.33,1
305,Mezquital Seco,0,2.6,1.97,-0.17,947.58,2
306,Santo Domingo,0,146.4,176.77,-30.37,13939.6,1
