pais,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003
Estados Unidos de América,4348038748,3118119737,4088490557,3048223059,3936842979,3010374477,3574034301,2911403201,3255885626,2679535733,2289332105,2574847648,1903910028,2255942801,1869415083,2252955969,1737185967,1905972626,1660935341,1858214838,1602006486,1745062087,1414548251,1300354933,1416904775,1298890268,1433932998,1654491749,1473632670,1623496562,1560750113,1638757558,1302734656,1384993064,1139720916,1249254498,1051267813,1218979095
Australia (Comunidad Australiana),53738497,51236252,61973487,71778228,78385053,86361418,71562039,84967229,25203874,28759056,85172058,96830745,154279227,93043965,145287509,86162595,135398449,84655299,118247187,75862082,100490715,69389131,84820879,59255254,75446227,50668116,62484122,52938482,40414663,42097039,28574574,28965410,22143915,24132530,15428634,16868722,9993085,11306490
Chile(República de ),94726689,72977469,56760898,49785272,79872454,69823434,64804948,56635496,53685554,52278689,60966902,73934571,69041183,65268057,86274293,90152543,45198429,55547754,40465784,41744197,26447470,33562811,17324067,21699705,9123601,11700424,9671549,12593613,5713983,7799417,3627636,5107726,2726262,4117798,2135528,3042060,1081209,1549957
Canadá,10934815,15757509,57596438,64103274,68713785,73440818,54986201,56004883,41099018,42150167,58204604,58683990,68131140,63083163,65339922,63614293,61459110,55917319,59634950,100205488,57493059,55645704,153699764,190887394,69896160,67238408,70043219,89318106,81236361,67882897,57372571,69981577,44057652,48543578,40726033,46889100,32451206,38511528
Reino Unido de la Gran Bretaña e Irlanda d,34416948,39389845,42962840,60450142,95916733,119919420,98544504,129879471,65668357,92232103,65515761,86400074,68933180,56107736,40045611,42969011,42929532,45888507,54641699,128439583,66042274,67869332,56993597,62319267,62480918,61667606,61422337,59849792,49472863,49352566,48319517,48985449,35219048,40528960,23376840,26265269,32774265,15421766
Nueva Zelandia,16681622,17977460,13663394,18672250,15580706,18879240,12927212,16755714,2660393,4071820,11096665,13894012,18816170,12155197,17485538,11716494,15068400,10417019,14280089,9769116,13212897,9604008,11193464,8034210,11211343,7734724,11248359,8702093,7789188,7760998,6940477,6898248,2844456,3067766,2373781,2570723,1374793,1554355
Guatemala (República de),66262356,77600910,45353231,61117605,61785188,75810584,43771647,59761458,8246214,14223489,2863059,5298914,13175937,19358197,16852520,21023478,6698311,9632604,6726162,9635874,6696291,10180327,5449723,8564841,3709176,5972913,3192110,5653371,3204881,5934932,2137695,4332915,1960559,3655111,1776124,3093168,1610496,2983130
Italia,25510073,25433785,15624306,22954221,19784528,25518621,19129883,26445263,18733125,27993394,17075537,23106262,17725703,24126896,13265601,15460180,14536683,17196332,16210472,19378309,14883942,16251136,15193254,16763913,15204435,14614297,11601375,11040464,12696871,12483779,8314869,8343454,5173188,6295854,4774603,5769488,4871001,5871182
China (República Popular de),31605443,16298063,35563673,19582398,94038442,65674455,192876559,164698765,81592658,77673624,38593568,38595234,28485040,24752644,12535082,9006650,12566596,8799391,7386427,5138656,5546936,4022250,7689372,7466675,9103745,9038293,9094886,9654487,6418774,7216086,9424587,10346991,11846790,13963938,11941549,13783043,10995212,13341415
Puerto Rico,16679740,17262101,10689244,12997264,15311954,15896440,15516352,17369698,2857448,3491661,5870346,8666945,11326039,9936189,11422378,9300013,9063924,7523742,9138704,7634219,7491478,6732507,6470803,5968146,8968227,9096913,9269142,10022897,8445685,9479157,7570373,8016800,6357065,7588610,4933582,6062310,3812971,4654821
España (Reino de),20444720,23071247,16243868,21320139,19629113,23251234,21122200,25138698,14993664,20035464,14310802,16116313,12212841,16141519,10799629,12412111,11048935,13445071,14471391,17616274,16733901,18268706,19217864,22058394,24885255,24028148,19675471,19012052,18616664,18086846,16919713,16843415,13578344,16240242,11428174,13841662,11938847,14219019
"Argentina, República",0,0,2892004,2258759,11826742,9586393,29605423,27849084,22797224,25970709,11161185,14960394,11579511,13537095,8581721,8131078,6663806,6547134,9642200,9417119,11238703,11677999,7634323,7871862,5826101,6201608,4235405,4504996,2075559,2483098,1478579,1774301,800820,1057082,417780,549211,168900,222950
Japón,7466968,8140721,5944162,7987391,8721167,10028439,6264018,7586992,1290409,1608497,6338596,6862676,13289554,9574361,7585424,5735195,6360057,4845412,10879200,8231858,6173473,4764277,6993288,6131163,7012400,6517695,7118807,6696910,6723811,6693226,6212327,6229799,6482464,6517968,6378574,6581817,6404925,6516855
Panamá (República de),19558321,22282391,18729985,28756883,11417582,14203229,4242219,5060217,2036483,2862829,5948362,8678101,10055460,12851843,6789385,6604432,5907848,6387786,3594876,4945887,3904134,4744953,2946538,3197477,3030206,3123134,2037691,2125089,1184205,1343716,1038162,1190943,977258,1264119,648960,858443,473922,645246
Irlanda (República de),355302,203323,8195,11450,0,0,1199318,1515735,6853867,9663077,7318400,10103902,4098769,5976842,6266121,7378461,4153789,4872758,2092873,2478297,698019,760665,1620038,1811905,3596828,3459703,0,0,4219354,4215974,3409110,3424695,1489881,1815382,732867,892974,285441,347802
Francia,221648,112137,117295,65473,449811,352867,749085,772342,861842,1068644,736648,983930,531917,703044,5374552,6287389,5598994,6392829,4762048,5638478,4302747,4541362,3684785,4248736,4203281,4018770,4306669,4114458,4090632,4055964,3166209,3149796,2818195,3389715,2696474,3209572,2592873,3144840
Alemania (República Federal de),211237,98461,219086,124446,5976896,6701468,10280441,12426130,7332478,9086685,2103404,2813473,4228099,5934569,5108271,6528892,5143761,6077345,4623583,5573336,4828740,5025236,4658409,5250321,4395340,4161056,4221344,4059483,4702405,4704339,6040477,6043163,5506255,6469631,2995401,3636719,3070476,3712860
Colombia (República de),20042818,18402199,5316556,5520464,38120541,40063858,54452794,63949048,19860663,28278877,16910357,23687388,12352147,16440046,4781956,6203963,4232765,5115565,3348783,4608601,2719883,3509217,2216859,2830022,1748918,2168134,1386892,1691919,1756248,2240990,1277237,1582645,1096183,1557232,1107340,1511629,696789,948934
Suiza,130736,55210,80121,43503,3391557,4275256,3574415,4779585,6529203,9131961,4945855,6946744,4531725,6452153,4436110,5101519,4300193,4801343,1742772,2081678,2235368,2363130,1696793,1909545,1228770,1173720,910081,847075,1257701,1223999,966692,964157,733259,886786,663659,794969,717456,867531
Emiratos Arabes Unidos,4371752,4918468,3854436,5231365,6518577,8016050,3832625,5322822,6623989,8221638,3752566,4931276,3535054,5081972,3893577,4607163,3151673,3677243,2994725,3483511,3047755,3145508,2594592,2992215,2445548,2406431,2481227,2451960,1167495,1206493,890029,915496,362407,441579,539586,657463,468416,570752
Uruguay (República Oriental del),3893214,4370489,4961652,6741908,5587106,6652730,4803984,6496390,4671536,7011517,4028799,5550854,3565795,3988967,3735612,3481734,2307857,2187387,1709116,1670645,1462156,1401212,774825,754096,823655,1076763,554236,728566,470098,599448,197899,269672,167274,236153,307032,422174,360021,504136
